Complex_Number,Street,City,Addr_State,Manager
908,63,Saint Louis,MO,716-10-6020
842,0,Waterloo,IA,511-74-2376
658,57882,San Francisco,CA,266-68-7171
7997,7,Bronx,NY,110-76-1463
5,5863,Peoria,IL,896-02-0417
20,8565,Stockton,CA,114-04-2624
3071,6,Atlanta,GA,799-24-0221
54,5,Orlando,FL,372-38-3517
0,2,Lexington,KY,411-18-1545
303,13820,El Paso,TX,188-74-8094
64125,0,Kansas City,KS,202-89-3658
305,71460,Austin,TX,812-82-3684
851,74,Burbank,CA,288-01-9012
477,22525,Scottsdale,AZ,322-80-1961
3830,9048,Newark,NJ,106-51-3945
17,0,Columbus,GA,360-89-3402
55942,74989,Davenport,IA,679-89-1721
4943,029,Kansas City,MO,409-73-0210
3,44896,New York City,NY,199-68-3962
6137,55696,Stockton,CA,163-44-5064
00110,5811,Biloxi,MS,209-88-9230
191,1829,Tacoma,WA,613-76-8607
797,18,Decatur,GA,227-75-0622
07,14,Wichita,KS,202-89-3658
235,017,Milwaukee,WI,864-34-4580
2,6,Charlotte,NC,106-51-3945
581,61295,Evansville,IN,770-81-3154
7054,95,Lima,OH,601-33-7306
2,54574,Saint Petersburg,FL,895-21-3853
7577,1,Norfolk,VA,340-17-4745
15,4781,Chico,CA,637-86-9330
0,548,Columbus,OH,672-94-4519
57342,77,Washington,DC,266-68-7171
349,18,Naples,FL,227-75-0622
3080,3,Birmingham,AL,699-93-1641
9195,2378,Winston Salem,NC,612-08-4144
69,51,Portland,OR,261-20-9686
549,4572,San Jose,CA,401-38-8660
7640,8,Hattiesburg,MS,895-21-3853
883,8,Longview,TX,517-99-8314
895,0,Stamford,CT,664-76-8553
82013,39012,Kansas City,MO,794-53-0284
570,67,Atlanta,GA,695-63-4802
8085,2,Fort Myers,FL,648-02-6204
53,20,Saint Petersburg,FL,304-70-9076
15722,07,Zephyrhills,FL,288-01-9012
002,51,El Paso,TX,407-19-0619
03,99,Des Moines,IA,598-78-6111
9,9150,Duluth,GA,650-64-3562
18676,10,New York City,NY,429-50-6905
2,236,Wichita,KS,511-74-2376
39805,7401,New Orleans,LA,716-10-6020
2479,22753,El Paso,TX,199-68-3962
14917,76,Omaha,NE,407-19-0619
53472,6233,Tampa,FL,679-26-3029
612,09,Erie,PA,517-99-8314
8734,7556,Fort Wayne,IN,504-04-6110
1,63484,Madison,WI,283-10-0555
45624,013,Flint,MI,794-53-0284
3369,1075,Fort Lauderdale,FL,421-94-3800
402,4,Tyler,TX,679-89-1721
35660,278,Dallas,TX,648-76-0134
75,0992,Chattanooga,TN,198-84-1542
902,972,Vancouver,WA,266-68-7171
4852,389,Lexington,KY,227-75-0622
9416,04576,Richmond,VA,312-80-6880
57307,8,Marietta,GA,650-64-3562
6635,8,San Diego,CA,837-40-0842
79415,7795,Orange,CA,304-70-9076
495,99176,Columbia,SC,613-76-8607
6,8,New York City,NY,202-89-3658
589,64622,Huntsville,AL,511-74-2376
9,18653,Denver,CO,642-36-2717
921,377,Marietta,GA,185-30-0209
4649,3183,Knoxville,TN,511-74-2376
518,97147,Pasadena,TX,409-73-0210
439,593,Southfield,MI,407-19-0619
5,224,Saint Louis,MO,411-18-1545
688,16758,Colorado Springs,CO,304-70-9076
0,71594,Buffalo,NY,277-26-1542
44574,94,Pensacola,FL,188-74-8094
02677,23673,Las Vegas,NV,695-63-4802
2,367,Richmond,VA,114-04-2624
0248,16,Saint Cloud,MN,613-90-5738
8,68257,Arlington,VA,409-73-0210
413,27,Richmond,VA,637-67-2834
62,1,Miami,FL,637-86-9330
0,6,Everett,WA,895-43-7322
93914,5,Idaho Falls,ID,146-84-0535
5,15,Atlanta,GA,323-17-0025
16979,390,Saint Louis,MO,585-02-0291
4,59,Pasadena,CA,353-10-2786
24,506,Peoria,IL,199-68-3962
95307,5860,Columbus,OH,511-74-2376
4,44707,Northridge,CA,332-92-3683
57,4387,Metairie,LA,517-99-8314
99528,0051,Kansas City,MO,517-99-8314
807,581,Palo Alto,CA,185-57-4572
3295,831,Monroe,LA,421-94-3800
814,6749,New Orleans,LA,146-84-0535
079,09,Iowa City,IA,511-74-2376
390,25,Kansas City,KS,637-67-2834
208,100,Oklahoma City,OK,770-41-7089
840,59209,Elizabeth,NJ,440-69-9100
960,6498,Herndon,VA,552-57-5566
1,329,Stockton,CA,799-24-0221
37228,50,Winston Salem,NC,114-04-2624
67,01464,Columbus,OH,794-53-0284
79949,2,Detroit,MI,820-81-4463
94884,589,Oklahoma City,OK,407-19-0619
7826,09,El Paso,TX,439-88-0725
3,4196,Cheyenne,WY,110-76-1463
2852,81414,Waterbury,CT,267-56-3538
35,0084,Austin,TX,261-20-9686
6244,40018,El Paso,TX,185-30-0209
5246,6761,Stockton,CA,146-84-0535
4795,603,Sacramento,CA,373-07-9527
31241,164,Lincoln,NE,592-13-2781
992,267,Akron,OH,401-38-8660
3967,6486,Kansas City,MO,202-89-3658
6,52744,Philadelphia,PA,202-89-3658
61,2,Dayton,OH,411-18-1545
9424,7,Louisville,KY,264-83-5536
920,019,Cincinnati,OH,679-89-1721
018,9,New Haven,CT,194-92-4513
73,1,New York City,NY,552-57-5566
97,95,Long Beach,CA,360-89-3402
0418,0,Pittsburgh,PA,323-17-0025
21,93,South Bend,IN,316-03-1176
777,41,Albany,NY,682-45-0583
42295,859,Washington,DC,372-38-3517
79,555,Jackson,MS,637-86-9330
9137,40,Akron,OH,895-43-7322
3,09,Raleigh,NC,312-80-6880
795,3520,Miami,FL,794-53-0284
1068,7,Johnson City,TN,820-81-4463
336,4563,Spokane,WA,679-26-3029
7440,3303,Colorado Springs,CO,407-19-0619
3,340,Montgomery,AL,185-57-4572
9833,10,Richmond,VA,532-06-6242
01,6,Washington,DC,679-26-3029
70505,1,Lima,OH,429-50-6905
9915,522,Ann Arbor,MI,112-73-2636
3,8232,Bridgeport,CT,199-68-3962
12699,3465,New York City,NY,613-90-5738
94,89926,Kansas City,KS,517-99-8314
543,6536,Van Nuys,CA,202-89-3658
78,5995,Reading,PA,752-04-8263
04107,8,Tucson,AZ,619-07-0485
853,42,Brooklyn,NY,752-04-8263
371,95,Birmingham,AL,392-63-9984
6381,5,Raleigh,NC,650-06-7134
1992,74990,New York City,NY,552-57-5566
56,2885,Fargo,ND,422-92-8431
5,30,Mesquite,TX,532-06-6242
846,1,Colorado Springs,CO,316-03-1176
46397,58203,San Antonio,TX,322-80-1961
585,263,Portland,ME,586-95-2260
6,1,Clearwater,FL,825-66-5927
46,8582,Pasadena,CA,114-04-2624
8128,42,Miami,FL,896-02-0417
7,5359,Salt Lake City,UT,549-53-6105
08638,53,Pittsburgh,PA,277-26-1542
52,516,Naples,FL,304-70-9076
87,64,Gulfport,MS,121-94-8712
05695,2,Huntsville,AL,809-10-4964
66,47103,Las Vegas,NV,504-04-6110
3133,4,San Francisco,CA,679-89-1721
95,078,Albuquerque,NM,896-02-0417
2,1,Topeka,KS,113-07-2873
36,55,Seattle,WA,648-76-0134
7210,2,Charlotte,NC,113-07-2873
2713,2,Harrisburg,PA,187-08-4317
2,4,Fort Lauderdale,FL,304-70-9076
11,04,Bloomington,IL,592-13-2781
75072,4,Baton Rouge,LA,695-63-4802
688,4371,San Diego,CA,642-36-2717
62,25,Pittsburgh,PA,598-78-6111
964,18021,Jacksonville,FL,563-11-6530
4,3,Philadelphia,PA,592-13-2781
85604,85,Los Angeles,CA,439-88-0725
3,036,El Paso,TX,187-08-4317
5,776,Baltimore,MD,187-08-4317
95,63,Lexington,KY,809-10-4964
85334,89,Erie,PA,266-68-7171
6,80826,El Paso,TX,682-45-0583
4,6531,San Diego,CA,411-18-1545
0379,95,Worcester,MA,675-25-3144
34275,56,Mobile,AL,679-89-1721
44,7,Los Angeles,CA,266-68-7171
35100,69,San Jose,CA,817-58-3723
081,6167,New York City,NY,799-24-0221
271,44657,Philadelphia,PA,202-89-3658
75,48,Charlotte,NC,770-81-3154
372,0680,Buffalo,NY,895-21-3853
991,66796,Vancouver,WA,440-69-9100
9,9323,Amarillo,TX,360-89-3402
6,4,El Paso,TX,825-66-5927
0473,199,Columbus,GA,532-06-6242
6,08421,Memphis,TN,198-84-1542
33336,1452,Johnson City,TN,392-63-9984
981,88,Charlotte,NC,194-92-4513
921,86247,Winston Salem,NC,185-57-4572
10,357,London,KY,585-02-0291
413,9,San Antonio,TX,373-07-9527
254,614,New Orleans,LA,695-63-4802
5,78,Arlington,TX,422-92-8431
1,0,Pasadena,CA,695-63-4802
16944,3,Phoenix,AZ,744-38-9333
2566,8,North Little Rock,AR,794-53-0284
0554,0,Fayetteville,NC,699-93-1641
17519,452,Miami,FL,699-93-1641
346,281,Huntsville,AL,650-06-7134
6189,55500,Riverside,CA,504-71-8143
71,6,Oakland,CA,199-68-3962
4,2,Washington,DC,563-11-6530
1,8345,Young America,MN,372-38-3517
51,623,Newport News,VA,188-74-8094
71,94933,Lake Charles,LA,650-64-3562
239,55609,Oklahoma City,OK,817-58-3723
1830,4,Minneapolis,MN,664-76-8553
52220,81,Anchorage,AK,585-02-0291
96625,787,Pittsburgh,PA,288-91-2023
22482,705,Metairie,LA,185-57-4572
8456,70,Honolulu,HI,332-92-3683
9,5,Pittsburgh,PA,648-02-6204
2,7,Indianapolis,IN,585-02-0291
58366,377,Englewood,CO,312-80-6880
7,30033,Wichita,KS,744-38-9333
40,5,Syracuse,NY,440-69-9100
82,621,Tampa,FL,163-44-5064
8712,668,Lexington,KY,288-01-9012
73333,0,Phoenix,AZ,372-38-3517
04,52106,Las Vegas,NV,799-24-0221
8011,92493,Schaumburg,IL,770-81-3154
06998,3,Austin,TX,637-86-9330
416,28,Brooklyn,NY,752-04-8263
3,052,Washington,DC,532-06-6242
36108,450,Cleveland,OH,114-04-2624
810,3066,Wichita Falls,TX,563-11-6530
889,9919,Inglewood,CA,679-89-1721
0252,80874,Fort Worth,TX,585-02-0291
787,11796,Wichita,KS,583-73-1873
8781,1673,Roanoke,VA,637-86-9330
36,009,Levittown,PA,372-38-3517
814,702,Fayetteville,NC,227-75-0622
25,899,Springfield,IL,194-92-4513
73,647,Gulfport,MS,504-71-8143
9087,4,Albany,NY,188-74-8094
9,36311,Phoenix,AZ,407-19-0619
38,3070,Rockford,IL,114-04-2624
596,47,Denver,CO,392-63-9984
42739,00132,Roanoke,VA,194-92-4513
105,36613,San Jose,CA,106-51-3945
288,97840,San Diego,CA,277-26-1542
8410,566,Seattle,WA,770-41-7089
37750,581,Los Angeles,CA,864-34-4580
152,16,Tallahassee,FL,264-83-5536
3942,2817,Pittsburgh,PA,194-92-4513
689,0,Memphis,TN,650-06-7134
2,66501,Homestead,FL,411-18-1545
79,004,Bakersfield,CA,586-95-2260
9,74,Seattle,WA,504-71-8143
56472,57,Lincoln,NE,304-70-9076
784,665,Phoenix,AZ,322-80-1961
5321,23445,Concord,CA,699-93-1641
0,00950,Long Beach,CA,288-91-2023
90,6254,Fort Lauderdale,FL,812-82-3684
0,213,Austin,TX,277-26-1542
878,792,Fairbanks,AK,312-80-6880
0643,17,Birmingham,AL,549-53-6105
45762,27,Albuquerque,NM,896-02-0417
18,5,Colorado Springs,CO,353-10-2786
11,10,Roanoke,VA,277-26-1542
20638,2,Murfreesboro,TN,770-41-7089
224,3,Corpus Christi,TX,552-57-5566
43425,698,San Francisco,CA,648-76-0134
9,4,Des Moines,IA,825-66-5927
5,12213,Fresno,CA,209-88-9230
84487,625,Buffalo,NY,601-33-7306
57,40976,Newark,NJ,504-71-8143
407,49102,South Bend,IN,672-94-4519
4,1,Longview,TX,194-92-4513
728,13440,Fort Wayne,IN,820-81-4463
5695,27297,Schenectady,NY,770-41-7089
2775,596,Trenton,NJ,422-92-8431
7,828,Houston,TX,675-25-3144
134,2,New York City,NY,199-68-3962
1,02765,Washington,DC,794-53-0284
6663,89,San Antonio,TX,113-07-2873
91011,64561,Fort Worth,TX,603-21-5708
9,03,Shawnee Mission,KS,770-81-3154
74788,8992,Bronx,NY,108-20-6263
01,9,Los Angeles,CA,799-24-0221
53031,934,Bronx,NY,511-74-2376
31,2,Philadelphia,PA,583-73-1873
2958,729,Tucson,AZ,699-93-1641
8860,863,Brockton,MA,672-94-4519
9945,31576,Santa Barbara,CA,592-13-2781
70848,90414,San Mateo,CA,198-84-1542
5,339,Atlanta,GA,163-44-5064
117,40,Galveston,TX,409-73-0210
4,5,Lansing,MI,199-68-3962
6807,6,Meridian,MS,585-02-0291
90057,4,Rochester,NY,619-76-7492
6551,61360,Greensboro,NC,146-84-0535
241,5,Wichita,KS,187-08-4317
8,77211,Los Angeles,CA,392-63-9984
010,716,New Bedford,MA,532-06-6242
35,457,Saint Augustine,FL,820-81-4463
0378,5632,Fresno,CA,613-76-8607
9632,76812,Colorado Springs,CO,504-04-6110
58,63,Greensboro,NC,504-04-6110
56,0985,San Antonio,TX,264-83-5536
94,962,Washington,DC,323-17-0025
62,99232,Pasadena,CA,752-04-8263
8768,40,Orlando,FL,106-51-3945
6555,1310,Evansville,IN,322-80-1961
3,488,Winston Salem,NC,188-74-8094
7946,623,Fresno,CA,716-10-6020
228,8,Washington,DC,532-06-6242
4,8,Honolulu,HI,110-76-1463
2,826,Raleigh,NC,267-56-3538
92324,53,Pittsburgh,PA,113-07-2873
9,65385,Houston,TX,637-67-2834
453,49929,Scranton,PA,266-68-7171
98,1401,Saint Paul,MN,199-68-3962
1,73160,New York City,NY,679-89-1721
056,1,Newark,NJ,323-17-0025
8243,204,Seattle,WA,563-11-6530
6797,5,Memphis,TN,288-91-2023
1287,00513,Apache Junction,AZ,592-13-2781
72,318,New York City,NY,896-02-0417
0093,88,Washington,DC,598-78-6111
34,0,Albany,NY,266-68-7171
0637,2,New York City,NY,340-17-4745
03714,69,Sacramento,CA,209-88-9230
2,23,Colorado Springs,CO,744-38-9333
4284,8,New Castle,PA,114-04-2624
6290,179,Fresno,CA,895-21-3853
992,97,Sarasota,FL,277-26-1542
33636,01194,Jackson,MS,323-17-0025
4540,49893,Albany,GA,619-76-7492
68,4,Albany,NY,112-73-2636
225,730,Harrisburg,PA,401-38-8660
8,16945,Galveston,TX,187-08-4317
1,3,Miami,FL,113-07-2873
4123,12,San Jose,CA,261-20-9686
26697,100,Kansas City,MO,601-33-7306
40653,93,Wichita,KS,619-07-0485
501,33521,Oklahoma City,OK,650-06-7134
4,9932,Oceanside,CA,695-63-4802
2,521,South Bend,IN,264-83-5536
45571,2745,Las Vegas,NV,601-33-7306
9,46,Sacramento,CA,422-92-8431
80,673,Washington,DC,110-76-1463
3088,9394,Charlotte,NC,794-53-0284
51089,85,Pasadena,CA,612-08-4144
094,5515,Dallas,TX,770-41-7089
6980,5,Largo,FL,163-44-5064
373,89,Saint Paul,MN,312-80-6880
5690,3797,San Francisco,CA,648-76-0134
190,1137,Tulsa,OK,612-08-4144
2280,47,Fort Lauderdale,FL,637-67-2834
9,36,Dallas,TX,199-68-3962
63935,0724,Washington,DC,552-57-5566
12,86551,Oklahoma City,OK,340-17-4745
4844,687,Boston,MA,108-20-6263
8,697,Montgomery,AL,264-83-5536
8777,24310,Atlanta,GA,323-17-0025
10,198,Columbus,GA,679-26-3029
7697,7,Miami,FL,360-89-3402
43697,7547,Baton Rouge,LA,744-38-9333
078,692,Palm Bay,FL,199-68-3962
569,4217,Riverside,CA,185-57-4572
30,9,Nashville,TN,799-24-0221
4,74851,Orlando,FL,288-91-2023
56658,3,San Jose,CA,583-73-1873
0,561,Fresno,CA,108-20-6263
1,1,Nashville,TN,837-40-0842
802,90,Pittsburgh,PA,185-57-4572
31162,668,Springfield,MO,163-44-5064
6,32569,Kansas City,MO,316-03-1176
550,22,Pittsburgh,PA,267-56-3538
08,4725,Washington,DC,108-20-6263
77589,20898,Stockton,CA,283-10-0555
3394,5,Gary,IN,360-89-3402
36,53,Springfield,IL,264-83-5536
9076,5,Kent,WA,113-07-2873
